Kimlik,Tür,"Stok kodu (SKU)","GTIN, UPC, EAN, or ISBN",İsim,Yayımlanmış,"Öne çıkan?","Katalogda görünürlük","Kısa açıklama",Açıklama,"İndirimli fiyatın başladığı tarih","İndirimli fiyatın bittiği tarih","Vergi durumu","Vergi sınıfı",Stokta?,Stok,"Düşük stok miktarı","Yok satmaya izin?","Ayrı ayrı mı satılıyor?","Ağırlık (kg)","Uzunluk (cm)","Genişlik (cm)","Yükseklik (cm)","Müşteri değerlendirmelerine izin verilsin mi?","Satın alma notu","İndirimli satış fiyatı","Normal fiyat",Kategoriler,Etiketler,"Gönderim sınıfı",Görseller,"İndirme sınırı","İndirme sona erme günü",Ebeveyn,"Gruplanmış ürünler","Yukarı satışlar","Çapraz satışlar","Harici URL","Düğme metni",Konum,Markalar,"Meta: _wp_page_template","Meta: cartflows_redirect_flow_id","Meta: cartflows_add_to_cart_text","Meta: om_disable_all_campaigns","Meta: site-sidebar-layout","Meta: ast-site-content-layout","Meta: site-content-style","Meta: site-sidebar-style","Meta: theme-transparent-header-meta","Meta: _yoast_wpseo_primary_product_brand","Meta: _yoast_wpseo_primary_product_cat","Meta: _yoast_wpseo_focuskw","Meta: _yoast_wpseo_linkdex","Meta: _yoast_wpseo_content_score","Meta: _yoast_wpseo_estimated-reading-time-minutes","Meta: _monsterinsights_sitenote_active","Meta: astra-migrate-meta-layouts","Meta: _yoast_wpseo_metadesc"
7295,simple,,,"Bando Kayış S19-001 50CC Scooter",1,0,visible,"50CC Scooter uyumlu kayış","Bando marka 50cc scooter uyumlu kayış.",,,taxable,,1,,,0,0,,,,,1,,,420,"Kayış > Bando, Kayış","50cc kayış, bando, kayış",,"https://marazmetal.com/wp-content/uploads/2025/05/s19-001-1-20250529-104035-scaled.jpg, https://marazmetal.com/wp-content/uploads/2025/05/s19-001-2-20250529-104153-scaled.jpg, https://marazmetal.com/wp-content/uploads/2025/05/s19-001-3-20250529-104247-scaled.jpg, https://marazmetal.com/wp-content/uploads/2025/05/s19-001-4-20250529-104342-scaled.jpg",,,,,,,,,0,Bando,default,,,,default,default,default,default,default,139,137,"Bando kayış",49,60,1,0,set,"2025 yılında en çok tercih edilen Bando Motosiklet Zinciri & Motosiklet Kayışı. Bando S19-001 50CC Scooter Kayış"
7301,simple,,,"BANDO KAYIŞ S19-002 HONDA ACTIVA",-1,0,visible,,"Bando marka Activa ve Spacy alpha uyumlu kayış",,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
7359,simple,,,"BANDO KAYIŞ S19-001 50CC SCOOTER",1,0,visible,"50CC Scooter uyumlu kayış","Bando marka 50cc scooter uyumlu kayış",,,taxable,,1,,,0,0,,,,,1,,,420,Uncategorized,,,"https://marazmetal.com/wp-content/uploads/2025/05/s19-001-1-20250531-134551-scaled.jpg, https://marazmetal.com/wp-content/uploads/2025/05/s19-001-4-20250531-134853-scaled.jpg, https://marazmetal.com/wp-content/uploads/2025/05/s19-001-3-20250531-134752-scaled.jpg, https://marazmetal.com/wp-content/uploads/2025/05/s19-001-2-20250531-134651-scaled.jpg",,,,,,,,,0,,default,,,,default,default,default,default,default,,,,,60,1,0,set,
7365,simple,,,"BANDO KAYIŞ S19-002 HONDA ACTIVA",1,0,visible,"Honda activa uyumlu kayış","Bando marka Activa ve Spacy alpha uyumlu kayış",,,taxable,,1,,,0,0,,,,,1,,,560,Uncategorized,,,"https://marazmetal.com/wp-content/uploads/2025/05/s19-002-1-20250531-135029-scaled.jpg, https://marazmetal.com/wp-content/uploads/2025/05/s19-002-4-20250531-135334-scaled.jpg, https://marazmetal.com/wp-content/uploads/2025/05/s19-002-3-20250531-135232-scaled.jpg, https://marazmetal.com/wp-content/uploads/2025/05/s19-002-2-20250531-135132-scaled.jpg",,,,,,,,,0,,default,,,,default,default,default,default,default,,,,,60,1,0,set,
7371,simple,,,"BANDO KAYIŞ S19-009 HONDA PCX",1,0,visible,"Honda PCX uyumlu kayış","Bando marka pcx uyumlu kayış",,,taxable,,1,,,0,0,,,,,1,,,750,Uncategorized,,,"https://marazmetal.com/wp-content/uploads/2025/05/s19-009-1-20250531-135512-scaled.jpg, https://marazmetal.com/wp-content/uploads/2025/05/s19-009-4-20250531-135819-scaled.jpg, https://marazmetal.com/wp-content/uploads/2025/05/s19-009-3-20250531-135715-scaled.jpg, https://marazmetal.com/wp-content/uploads/2025/05/s19-009-2-20250531-135614-scaled.jpg",,,,,,,,,0,,default,,,,default,default,default,default,default,,,,,60,1,0,set,
7377,simple,,,"BANDO KAYIŞ S19-018 150CC SCOOTER",1,0,visible,"150CC Scooter uyumlu kayış","Bando marka 150cc uyumlu kayış",,,taxable,,1,,,0,0,,,,,1,,,620,Uncategorized,,,"https://marazmetal.com/wp-content/uploads/2025/05/s19-018-1-20250531-135959-scaled.jpg, https://marazmetal.com/wp-content/uploads/2025/05/s19-018-4-20250531-140311-scaled.jpg, https://marazmetal.com/wp-content/uploads/2025/05/s19-018-3-20250531-140207-scaled.jpg, https://marazmetal.com/wp-content/uploads/2025/05/s19-018-2-20250531-140104-scaled.jpg",,,,,,,,,0,,default,,,,default,default,default,default,default,,,,,60,1,0,set,
7383,simple,,,"BANDO KAYIŞ S19-029 HONDA SPACY 110",1,0,visible,"Honda Spacy 110 uyumlu kayış","Bando marka honda spacy uyumlu kayış",,,taxable,,1,,,0,0,,,,,1,,,580,Uncategorized,,,"https://marazmetal.com/wp-content/uploads/2025/05/s19-029-1-20250531-140443-scaled.jpg, https://marazmetal.com/wp-content/uploads/2025/05/s19-029-4-20250531-140753-scaled.jpg, https://marazmetal.com/wp-content/uploads/2025/05/s19-029-3-20250531-140651-scaled.jpg, https://marazmetal.com/wp-content/uploads/2025/05/s19-029-2-20250531-140547-scaled.jpg",,,,,,,,,0,,default,,,,default,default,default,default,default,,,,,60,1,0,set,
7389,simple,,,"BANDO KAYIŞ S19-032 125CC SCOOTER",1,0,visible,"125CC Scooter uyumlu kayış","Bando marka 125cc uyumlu kayış",,,taxable,,1,,,0,0,,,,,1,,,640,Uncategorized,,,"https://marazmetal.com/wp-content/uploads/2025/05/s19-032-1-20250531-140937-scaled.jpg, https://marazmetal.com/wp-content/uploads/2025/05/s19-032-4-20250531-141254-scaled.jpg, https://marazmetal.com/wp-content/uploads/2025/05/s19-032-3-20250531-141148-scaled.jpg, https://marazmetal.com/wp-content/uploads/2025/05/s19-032-2-20250531-141045-scaled.jpg",,,,,,,,,0,,default,,,,default,default,default,default,default,,,,,60,1,0,set,
7395,simple,,,"BANDO KAYIŞ S19-057 MONDİAL TAB 50",1,0,visible,"Mondial tab 50 uyumlu kayış","Bando marka mondial tab 50 uyumlu kayış",,,taxable,,1,,,0,0,,,,,1,,,470,Uncategorized,,,"https://marazmetal.com/wp-content/uploads/2025/05/s19-057-1-20250531-141429-scaled.jpg, https://marazmetal.com/wp-content/uploads/2025/05/s19-057-4-20250531-141707-scaled.jpg, https://marazmetal.com/wp-content/uploads/2025/05/s19-057-3-20250531-141635-scaled.jpg, https://marazmetal.com/wp-content/uploads/2025/05/s19-057-2-20250531-141532-scaled.jpg",,,,,,,,,0,,default,,,,default,default,default,default,default,,,,,60,1,0,set,
7401,simple,,,"BANDO KAYIŞ S19-080 HONDA ACTIVA S",1,0,visible,"Honda Activa S uyumlu kayış","Bando marka honda Activa s uyumlu kayış",,,taxable,,1,,,0,0,,,,,1,,,700,Uncategorized,,,"https://marazmetal.com/wp-content/uploads/2025/05/s19-080-1-20250531-141915-scaled.jpg, https://marazmetal.com/wp-content/uploads/2025/05/s19-080-4-20250531-142225-scaled.jpg, https://marazmetal.com/wp-content/uploads/2025/05/s19-080-3-20250531-142122-scaled.jpg, https://marazmetal.com/wp-content/uploads/2025/05/s19-080-2-20250531-142018-scaled.jpg",,,,,,,,,0,,default,,,,default,default,default,default,default,,,,,60,1,0,set,
7406,simple,,,"BANDO KAYIŞ Ha4S002 HONDA SPACY ACTIVA BEAT JUPITER WEGO RKS SPONTINI",1,0,visible,"Honda Spacy Activa beat jupiter wego rks spontini uyumlu kayış","Bando marka Honda Spacy Activa beat jupiter wego rks spontini uyumlu kayış",,,taxable,,1,,,0,0,,,,,1,,,1100,Uncategorized,,,"https://marazmetal.com/wp-content/uploads/2025/05/s19-080-4-20250531-142225-scaled.jpg, https://marazmetal.com/wp-content/uploads/2025/05/spacy-activa-beat-jupiter-wego-rks-spontini-3-20250531-142610-scaled.jpg, https://marazmetal.com/wp-content/uploads/2025/05/spacy-activa-beat-jupiter-wego-rks-spontini-2-20250531-142508-scaled.jpg, https://marazmetal.com/wp-content/uploads/2025/05/spacy-activa-beat-jupiter-wego-rks-spontini-1-20250531-142404-scaled.jpg",,,,,,,,,0,,default,,,,default,default,default,default,default,,,,,90,1,0,set,
7412,simple,,,"50CC ARKA VARYATÖR KOMPLE",1,0,visible,"DELTAFORCE 50CC ARKA VARYATÖR KOMPLE","DELTAFORCE 50CC ARKA VARYATÖR KOMPLE",,,taxable,,1,,,0,0,,,,,1,,,1200,Uncategorized,,,"https://marazmetal.com/wp-content/uploads/2025/05/varyator-komple-arka-50cc-1-20250531-142843-scaled.jpg, https://marazmetal.com/wp-content/uploads/2025/05/varyator-komple-arka-50cc-4-20250531-143153-scaled.jpg, https://marazmetal.com/wp-content/uploads/2025/05/varyator-komple-arka-50cc-3-20250531-143053-scaled.jpg, https://marazmetal.com/wp-content/uploads/2025/05/varyator-komple-arka-50cc-2-20250531-142946-scaled.jpg",,,,,,,,,0,,default,,,,default,default,default,default,default,,,,,60,1,0,set,
7418,simple,,,"FİZY 125 ARKA VARYATÖR KOMPLE",1,0,visible,"Fizy 125 iÃ§in arka varyatör","FİZY 125 ARKA VARYATÖR KOMPLE",,,taxable,,1,,,0,0,,,,,1,,,1600,Uncategorized,,,"https://marazmetal.com/wp-content/uploads/2025/05/varyator-komple-arka-fizy-125-1-20250531-143327-scaled.jpg, https://marazmetal.com/wp-content/uploads/2025/05/varyator-komple-arka-fizy-125-4-20250531-143626-scaled.jpg, https://marazmetal.com/wp-content/uploads/2025/05/varyator-komple-arka-fizy-125-3-20250531-143527-scaled.jpg, https://marazmetal.com/wp-content/uploads/2025/05/varyator-komple-arka-fizy-125-2-20250531-143426-scaled.jpg",,,,,,,,,0,,default,,,,default,default,default,default,default,,,,,60,1,0,set,
7424,simple,,,"SPACY 110 ARKA VARYATÖR KOMPLE",1,0,visible,"Spacy 110 iÃ§in arka varyatör","SPACY 110 ARKA VARYATÖR KOMPLE",,,taxable,,1,,,0,0,,,,,1,,,1500,Uncategorized,,,"https://marazmetal.com/wp-content/uploads/2025/05/varyator-komple-arka-spacy-110-1-20250531-143802-scaled.jpg, https://marazmetal.com/wp-content/uploads/2025/05/varyator-komple-arka-spacy-110-4-20250531-144104-scaled.jpg, https://marazmetal.com/wp-content/uploads/2025/05/varyator-komple-arka-spacy-110-3-20250531-144003-scaled.jpg, https://marazmetal.com/wp-content/uploads/2025/05/varyator-komple-arka-spacy-110-2-20250531-143903-scaled.jpg",,,,,,,,,0,,default,,,,default,default,default,default,default,,,,,60,1,0,set,
7429,simple,,,"ÖN VARYATÖR KOMPLE BD10152",1,0,visible,"Uyumlu modeller : MT ZN RT KV RR RE RF AT ZC HS RS UPM 110URT ZNX LYL MSH RT-A 100RT NT HSK-X BS15","Uyumlu modeller : MT ZN RT KV RR RE RF AT ZC HS RS UPM 110URT ZNX LYL MSH RT-A 100RT NT HSK-X BS15",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,"https://marazmetal.com/wp-content/uploads/2025/05/varyator-komple-arka-spacy-110-4-20250531-144104-scaled.jpg, https://marazmetal.com/wp-content/uploads/2025/05/20250513_195749-scaled.jpg, https://marazmetal.com/wp-content/uploads/2025/05/20250513_195725-scaled.jpg, https://marazmetal.com/wp-content/uploads/2025/05/20250513_195616-scaled.jpg",,,,,,,,,0,,default,,,,default,default,default,default,default,,,,,60,1,0,set,
7434,simple,,,"ÖN VARYATÖR KOMPLE FURY 110",1,0,visible,"Uyumlu modeller : Fury 110","Uyumlu modeller : Fury 110",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,"https://marazmetal.com/wp-content/uploads/2025/05/20250513_200501-scaled.jpg, https://marazmetal.com/wp-content/uploads/2025/05/20250513_200556-scaled.jpg, https://marazmetal.com/wp-content/uploads/2025/05/20250513_200513-1-scaled.jpg",,,,,,,,,0,,default,,,,default,default,default,default,default,,,,,60,1,0,set,
7438,simple,,,"ÖN VARYATÖR KOMPLE FİZY 125",1,0,visible,"Uyumlu modeller : Fizy 125","Uyumlu modeller : Fizy 125",,,taxable,,1,,,0,0,,,,,1,,,700,Uncategorized,,,"https://marazmetal.com/wp-content/uploads/2025/05/20250513_200941-scaled.jpg, https://marazmetal.com/wp-content/uploads/2025/05/20250513_200950-scaled.jpg",,,,,,,,,0,,default,,,,default,default,default,default,default,,,,,60,0,0,set,
